Sample,Time(ms),Temperature(C),Pressure(hPa),Altitude(m),RelativeAltitude(m)
1,2155,25.16,1007.73,46.08,-0.05
2,3155,25.16,1007.72,46.13,-0.01
3,4155,25.17,1007.73,46.09,-0.05
4,5155,25.18,1007.74,45.99,-0.15
5,6155,25.19,1007.72,46.15,0.01
6,7155,25.20,1007.72,46.18,0.04
7,8155,25.21,1007.73,46.02,-0.11
8,9155,25.21,1007.72,46.12,-0.02
9,10155,25.22,1007.72,46.12,-0.02
10,11155,25.23,1007.74,45.99,-0.14
11,12155,25.23,1007.73,46.09,-0.04
12,13155,25.24,1007.72,46.12,-0.02
13,14155,25.24,1007.71,46.26,0.12
14,15155,25.25,1007.70,46.33,0.19
15,16155,25.25,1007.72,46.13,-0.01
16,17155,25.25,1007.71,46.20,0.07
17,18155,25.24,1007.74,45.99,-0.15
18,19155,25.25,1007.74,45.99,-0.15
19,20155,25.25,1007.70,46.30,0.16
20,21155,25.25,1007.70,46.33,0.19
21,22155,25.26,1007.71,46.20,0.06
22,23155,25.26,1007.67,46.52,0.38
23,24155,25.27,1007.69,46.39,0.26
24,25155,25.28,1007.70,46.27,0.13
25,26155,25.28,1007.70,46.25,0.12
26,27155,25.29,1007.71,46.27,0.13
27,28155,25.30,1007.70,46.33,0.19
28,29155,25.31,1007.72,46.14,0.01
29,30155,25.31,1007.71,46.24,0.10
30,31155,25.32,1007.71,46.25,0.11
